title	link	faculty	date	content
[학부] 2024-1학기 교내장학금(보훈/국가시험지원/가족/중앙나래) 신청 안내	https://www.cau.ac.kr/cms/FR_CON/BoardView.do?MENU_ID=100&CONTENTS_NO=1&SITE_NO=2&BOARD_SEQ=4&BBS_SEQ=27252	중앙대학교 NOTICE	2024-01-22	[학부] 2024-1학기 교내장학금(보훈/국가시험지원/가족/중앙나래)신청 안내장학금 지급에 관한 시행세칙 제6조, 14조, 17조 22조에 의거 보훈장학금, 국가시험지원장학금, 가족장학금, 특성화(중앙나래)장학금을 다음과 같이 지급하고자 하오니 해당 학생은 기한 내에 신청해 주시기 바랍니다.※ 국가시험지원/가족장학금은 포탈에서 신청하시기 바랍니다.구분보훈국가시험지원가족중앙나래공통자격2024-1학기 재학 예정자 (단, 수업연한 초과자 제외)신청대상1국가보훈법에 의한 보훈대상자 본인 및 직계 손자녀2북한이탈주민 교육보호대상자-직전학기 성적이 1.50 이상인 자※ 기존 수혜 학생은   신청할 필요없음/신규 해당자만 신청※ 장학금   수혜 자격여부는 보훈처에 문의하여 확인 요망-재학중 국가시험 합격자-대상시험 : 5급 국가공무원 공개경쟁채용시험, 외교관   후보자 선발시험, 입법고시, 공인회계사, 변리사-직전학기 이수학점 12학점(단 4학년은 8학점), 평점 1.88점 이상인 자※ 기존 수혜 학생은   신청할 필요 없음 / 신규 해당자만 신청※ 기타 국가시험은 아래   소속대학별 기준 참고하여 소속대학 교학지원팀으로 문의-친가족 2명 이상 본 대학교 학부과정에 재학 또는 휴학하고 있는 경우 재학중인 학생 1명-직전학기 12학점 이상 성적이 2.50 이상인   자- 2024-1학기 한국장학재단 학자금지원구간 기초/차상위~3분위인 자로서, 2024-1학기 수업료성 외부장학금 30만원 이상 수혜자(단, 국가장학금 제외)지원기간수업연한까지-1차 합격자 : 1학기 (2회에 한함)(단, 의,약학대학   재학생은 국가공무원 5급 공개경쟁채용시험 및 입법고시 1차   시험 합격만으로 장학금이 지급되지 아니하고, 2차 시험에 합격한 경우에 한해 1개 학기 수업료 전액을 2차 시험 합격자 장학금과   별도로 지급한다.(1회에 한하여, 등록금액 범위를   초과하여 지급 가능하다.))-2차 합격자 : 수업연한까지당해 학기(매 학기 신청해야 함)당해 학기(매 학기 신청해야 함)지원금액수업료 전액-수업료 전액※ 기타 국가시험은 아래   소속대학별 기준 참고하여 소속대학 교학지원팀으로 문의하세요.수업료의 35%(단, 타 장학금 수혜자는 등록금 범위 내 지급)외부장학금수혜액 기준지급액수업료의 50% 이상50만원수업료의 50% 미만~ 30만원 이상30만원-등록금 범위 초과 지원하는 생활비성 장학금임-동일학기 다수 기관 중복수혜자의 경우 최대 장학금 지원기관 기준 1회만   지원제출서류-손,자녀: 대학수업료면제대상자 증명서-본인: 교육지원 대상자 증명서-북한이탈주민: 교육보호대상자 증명서 및 고졸 학력인정   증빙서류-합격확인서-국가고시반 지도교수 확인서(1차 합격자만 해당)-가족관계증명서(부 또는 모 명의 발급)① 중앙나래장학금 신청서② 개인정보보호수집이용   동의서③ 수혜받은 외부장학금   모집요강④ 수혜금액을 확인할   수 있는 증빙자료(③,④ 항목은   학생지원팀을 경유하지 않은 장학금 수혜 대상자만 제출함)신청기간2024.1.22.(월) ~ 2.6.(화)   15시까지※ 2024-1학기   등록금 고지감면을 위한 신청기간이며, 2024-1학기 기말시험기간 이전(2024.6.22.까지)까지 소속캠퍼스 학생지원팀으로 신청가능.단, 보훈장학금은 2024.3.31.까지 신청하여야만 수혜가 가능함.※ 본   공고일 이후부터 2024-1학기 기말시험기간이전(2024.6.22.까지)까지 합격자 발표가 나는 국가시험은 별도의 장학금 신청공고가 없으며, 본   공지사항으로 갈음함.2024.3.1.(금) ~ 5.31.(금)이후 외부장학생으로 선발 된 경우 24.6.21.(금)까지 상시 신청지급방법-고지감면 (등록금 고지서 상에 감면 처리 됨)※ 전액 감면자의 경우   반드시 “0”원 등록 해야 함(등록금 고지서 출력하여 “0”원 등록 방법 확인하세요)-증서환불(고지감면 기간 이후 신청한 경우)※ 등록금 대출자의 경우 대출 상환 처리※ 5월 중순경 일괄 환불 예정-개인계좌 지급제출처보훈/중앙나래장학금(오프라인 또는 이메일 제출)-서울캠퍼스 소속 재학생방문 : 107관(학생회관) 201호(학생지원팀) 방문 접수 (9시~16시)이메일 : sybae1937@cau.ac.kr우편 : (06974) 서울   동작구 흑석로 84 107관 201호   학생지원팀-다빈치캠퍼스 소속 재학생방문 :901관(본관) 21206호(학생지원팀) 방문   접수 (9시~15시)이메일:  jinhwan303@cau.ac.kr우편:(17546)경기 안성시 대덕면 서동대로 4726 901관 21206호※ 신입생이 고지감면   받고자 하는 경우 : 증빙서류 및 신입생합격증을 신입생 등록기간 전에 제출하여야   함국가시험지원장학금(포탈 신청)<포탈 신청>포탈(mportal.cau.ac.kr) 로그인 > 학사마당 > 장학신청 > 교내외장학신청 > 신청가능   장학현황 > 국가시험지원장학 신청 > 시험종류/합격연도/합격차수/증빙서류첨부 > “신청”버튼 클릭※ 증빙서류- 1차합격 : 합격확인서(주관기관에서 정식 발급한 확인서만 인정) 및 지도교수확인서   첨부- 2차합격 : 합격확인서(주관기관에서 정식 발급한 확인서만 인정) 첨부※ 신청결과는 학사마당 > 장학신청 > 교내외장학신청 > 신청장학현황에서 확인가능-진행상태가 “선발”인 경우 접수완료-진행상태가 “탈락”인 경우 비고(탈락사유)를 참고하여 재신청하여야 함※ 지도교수확인서 발급과 관련한 문의사항은 각 고시반으로 문의가족장학금(포탈 신청)<포탈 신청>포탈(mportal.cau.ac.kr) 로그인 > 학사마당 > 장학신청 > 교내외장학신청 > 신청가능   장학현황 > 가족장학 신청 > 형제자매의   학번/성명/학적상태 정보 입력 > 증빙서류첨부 > “신청”버튼   클릭※ 부 또는 모 명의로   가족관계증명서를 발급하여 본인과 형제자매가 증명서에 함께 기재되어야 함※ 신청결과는 학사마당 > 장학신청 > 교내외장학신청 > 신청장학현황에서 확인가능-진행상태가 “선발”인 경우 접수완료-진행상태가 “탈락”인 경우 비고(탈락사유)를 참고하여 재신청하여야 함※ 가족 중 1명이 2024-1학기 신입생인 경우1)재학생이 수혜받고자 하는 경우 : 신입생의   학번이 부여된 이후(2월 말) 포탈에서 신청하며, 이 경우 재학생 정규등록 기간이 아닌 3월   중에 있는 추가등록기간에 가족장학금 고지서 감면여부를 확인한 후 등록금을 납부함※신입생학번이부여되기전에수험번호를기재하여신청할경우,신청현황목록에가족장학금신청내역이있다하더라도신청이되지않음.신입생학번이부여된이후다시신청하여야함.2)신입생이 수혜받고자 하는 경우가) 등록금 납부 전   고지감면 : 가족관계증명서 및 신입생합격증을 신입생 등록기간 전까지 학생지원팀   방문 또는 우편 또는 이메일 제출(합격자 유의사항 참조)나) 등록금 납부 후   증서환불 : 신입생 학번 부여된 이후 3월에   포탈에서 신청함문의-중앙대포탈e-상담을 통해 문의해 주시기 바랍니다.서울캠퍼스 소속 재학생 상담부서 : 학생처   학생지원팀다빈치캠퍼스 소속 재학생 상담부서 : 교학처   학생지원팀(다빈치)■ 기타 국가시험지원 내역 (소속대학 교학지원팀으로 문의하세요)해당 대학인문대학사회과학대학경영경제대학대상 시험1)공인노무사, 관세사, 세무사2)주요 신문 신춘문예 및 주요 문학잡지   수상(신춘문예: 경향신문, 동아일보, 문화일보, 서울신문, 세계일보, 조선일보, 중앙일보, 한국경제, 한국일보 9개문학잡지: 문학과 사회, 문학동네, 창비, 현대문학 4개)감정평가사, 공인노무사, 관세사, 세무사1)관세사, 세무사, 감정평가사, 노무사2)CFA(공인재무분석사), 보험계리사지원 금액1)1차합격 수업료 100%(2회) / 2차합격 수업료100%(수업연한까지)2)신인상 수상 해당 학기 1학기 수업료 전액 지원1차합격 수업료의 50%(1회) /2차합격 수업료의 50%(수업연한까지)1)1차합격: 수업료의 50%(1회)2차합격 수업료의 50%(수업연한까지)2) 1차합격: 500,000원(1회)2차합격: 500,000원(수업연한까지)중앙나래장학금 신청서류.hwp미리보기
2024학년도 1학기 국가장학금 및 사전장학 2차 신청 안내	https://www.cau.ac.kr/cms/FR_CON/BoardView.do?MENU_ID=100&CONTENTS_NO=1&SITE_NO=2&BOARD_SEQ=4&BBS_SEQ=27273	중앙대학교 NOTICE	2024-03-15	2024학년도 1학기 국가장학금 및 사전장학 2차 신청 안내2024학년도 1학기 국가장학금 및 교내 사전장학 2차 신청 일정을 아래와 같이 안내하오니, 장학금 수혜희망자는 장학생 선발 시 불이익을 받지 않도록 해당기간 내반드시 두 가지 장학을 신청하시기 바랍니다.(국가장학금 수혜자가 사전장학을 신청을 안 한 경우 중앙사랑 장학금 수혜 받지 못함)신청차수재학생신/편입생/재입학생복학생1차OOO2차XOO▶ 국가장학금의 경우, 재학생은 1차 신청이 원칙이며 2차 신청한 재학생은 심사단계에서 탈락됩니다.(사유 : 신청기간 미준수)▶ 국가장학금의 경우, 재학생은 1차 신청이 원칙이나 재학 중 2회에 한하여 구제신청 절차를 자동으로 적용하여 심사가 진행됩니다.(단, 구제신청 기회 2회 기사용 또는 기타 탈락사유 존재 시 지원 불가)※ 단, 사전장학은 재학생 2차 신청 가능※ 모든 교내·외 장학금 수혜를 위해서는 국가장학금 및 사전장학 신청을 완료해야 합니다.특히, 중앙사랑 장학금 수혜를 위해서는 반드시 국가장학금 및 교내 사전장학 신청을 완료해야 합니다.구분국가장학금(Ⅰ,Ⅱ유형)사전장학(교내장학,교외장학)신청대상2024학년도 1학기 장학수혜 희망자( 재학생, 신입생, 편입생, 재입학생, 복학생 등 모든 학적 )신청기간2024. 2. 1.(목) 오전 9시~ 3. 14.(목) 오후 6시☞ 서류제출 및 가구원 동의:2024. 2. 1.(목) 오전9시   ~3. 21.(목) 오후6시※ 국가장학금 신청 및 서류확인(서류제출은 대상자에   한함), 가구원 동의가 반드시 완료되어야 장학금 수혜 가능2024. 2. 1.(목) 오전 9시~ 3. 17.(일) 밤 12시※ ’24-1학기 신/편입생은2월말 학번 부여 및 중앙대포털회원 가입 후 신청 가능함.신청방법한국장학재단(www.kosaf.go.kr)또는모바일 앱(https://mo.kosaf.go.kr/apps)→ 국가장학금 신청(※ 학생 공동인증서 필요,가구원 정보제공 동의 필수)중앙대학교 포털(mportal.cau.ac.kr)→ 학사마당 → 교내외장학신청→ 사전장학 신청장학금액▶ 국가장학Ⅰ : 학자금 지원구간별   차등▶ 국가장학Ⅱ-국가장학Ⅱ : 학자금 지원구간별 차등(※학기말에 증서환불 형태로 지급)-신·편입생   지원 : 2024-1학기 입학생(신?편입생) 입학 실비용분 지원(※ 국가장학금 신청자에 한해 지원 가능하며 1차에 신청 못한 경우 2차기간에 반드시 신청)▶ 중앙사랑장학금 : 학자금 지원구간별 차등(※국가장학금 및 사전장학   신청 필수)▶ 교내장학금(성적장학금, 학과 장학금 등):각 장학금 선발기준에 따라 지급▶ 교외장학금(장학종류에 따라 다름)-계속추천 : 재단 선발기준에 의해 장학생 선발-신규추천 : 재단 요청시 사전장학 신청자 중적격자 선발지급방법2024학년도 1학기 등록금고지서 감면처리 및 증서환불문의처한국장학재단 콜센터☎   1599-2000중앙대포탈>참여마당>e-상담처리에서‘학생처 학생지원팀’ 또는 ‘교학처 학생지원팀(다빈치)’을 선택하여 문의글 작성※ 신청가능 장학현황에서 신청장학현황으로 사전장학메뉴가 이동하면 신청이 완료된 것이니 확인바랍니다.(첨부파일. 사전장학신청결과 확인화면)2024. 1. 29.학생처장/교학처장붙임1 2024년 1학기 국장학금 2차 신청 안내 홍보문.pdf미리보기붙임2 2024년 1학기 국가장학금 2차 홈페이지 신청매뉴얼.pdf미리보기붙임3 2024년 1학기 국가장학금 2차 모바일 신청매뉴얼.pdf미리보기붙임4 사전장학+신청결과+확인화면.pdf미리보기
2024 박인환상 학술부문 공고 안내	https://www.cau.ac.kr/cms/FR_CON/BoardView.do?MENU_ID=100&CONTENTS_NO=1&SITE_NO=2&BOARD_SEQ=4&BBS_SEQ=27294	중앙대학교 NOTICE	2024-01-31	1) 공 모 명 :2024 박인환상 학술부문 공모2) 공모분야 :문학, 영화평론 2개 분야3) 시 상 금 : 총1천만원(분야별 5백만원)4) 공모일정 :2024.01.26.~07.08.(※ 접수기간 2024.07.01.~07.08.)5) 접수방법 : 현장접수 및 우편접수(※ 이메일 접수 불가)6) 기    타 : 자세한 사항은 박인환문학관 홈페이지 참조(www.parkinhwan.or.kr)붙임  1. 2024 박인환상 학술부문 공모 공고문 1부.2. 2024 박인환상 학술부문 공모 포스터 1부.  끝.2024 박인환상 학술부문 공모_공고문.pdf미리보기2024 박인환상 학술부문 공모_포스터.png미리보기
2024년 봄철 '산불조심기간' 설정·운영	https://www.cau.ac.kr/cms/FR_CON/BoardView.do?MENU_ID=100&CONTENTS_NO=1&SITE_NO=2&BOARD_SEQ=4&BBS_SEQ=27298	중앙대학교 NOTICE	2024-01-31	산림청 공고 제2024–45호'산림보호법' 제31조 제3항에 따라 2024년 봄철 '산불조심기간'을 다음과 같이 공고합니다.2024년 1월 29일산  림  청  장2024년 봄철 '산불조심기간' 설정·운영1. 봄철 '산불조심기간' 설정○ 산불조심기간 : 2024. 2. 1. ～ 5. 15(105일)* 지자체는 기상상태 및 지역여건을 고려하여 산불조심기간을 탄력적으로 조정·운영2. 산불 신고 요령산불을 발견한 때에는 다음의 신고요령에 따라 가까운 행정기관에 신고하여 주시기 바랍니다.가. 신고 요령: 산불을 발견하거나 산불의 위험이 있는 행위 등을 발견한 때에는 발생 장소와 시간, 산불의 크기, 신고자 인적사항(이름, 연락처) 등을 행정기관에 즉시 신고나. 신고할 행정기관1) 시청·군청·구청(읍·면·동사무소), 지방산림청 및 국유림관리소○ 중앙산불방지대책본부(산림청) : 042-481-41192) 소방관서(119), 경찰관서, 군부대 등3) 그밖에 가까운 곳에 있는 산불감시원이나 마을이장 등※ 기타 ‘스마트 산림재해’ 앱의 ‘산불신고’를 통해서도 가능3. 당부사항우리나라 산불은 대부분이 국민들의 사소한 부주의로 발생하기 때문에 산불을 막기 위해서는 국민 여러분의 적극적인 산불예방과 감시활동이 매우 중요합니다.첫째, 산림으로부터 100미터 이내에 토지에서 논·밭두렁을 태우거나 영농부산물 등 각종 쓰레기를 소각하지 말아 주시기 바랍니다.둘째, 입산통제구역이나 통행이 제한된 등산로에는 출입하지 말아 주시기 바랍니다.※ 입산가능 지역 여부는 산림청 홈페이지(www.forest.go.kr) 배너창(서비스 예정) 또는 인터넷 포털(네이버) 지도에서 주소지 입력으로 확인 가능합니다.셋째, 입산이 가능한 지역에 입산 할 경우라도 라이터, 버너 등 화기나 인화물질을 휴대하지 말아 주시기 바랍니다.넷째, 산림 또는 산림과 가까운 곳에서는 담배를 피우거나 담배꽁초를 버리는 행위를 금지하여 주시기 바랍니다.정부에서는 산불을 낸 사람에 대하여는 고의나 실수를 불문하고 관계법령에 따라 엄중 처벌하고 방화범은 끝까지 추적하여 검거하겠습니다.※ 과실로 산림을 태운자 : 3년 이하의 징역이나 3,000만원 이하의 벌금아울러, 우리의 소중한 산림을 산불로부터 지키기 위해서는 국민 여러분의 자발적인 산불예방과 감시활동이 무엇보다 중요합니다. 산불예방을 위한 국민 여러분의 적극적인 협조를 거듭 당부드립니다.
[언어교육원] 2024 중앙대학교 신입생 비교과 레벨업 세미나	https://www.cau.ac.kr/cms/FR_CON/BoardView.do?MENU_ID=100&CONTENTS_NO=1&SITE_NO=2&BOARD_SEQ=4&BBS_SEQ=27308	중앙대학교 NOTICE	2024-02-14	① 세미나 인트로 영상 링크 :https://contents.ttceducation.net/2024_설명회/intro/2024년쿠키영상 .mp4② 세미나 신청 바로가기 링크 :https://cau.ttceducation.net/apply/cau/
중앙대학교 언론고시반 ‘언필제(言必齊)’ 41기 신입반원 모집	https://www.cau.ac.kr/cms/FR_CON/BoardView.do?MENU_ID=100&CONTENTS_NO=1&SITE_NO=2&BOARD_SEQ=4&BBS_SEQ=27331	중앙대학교 NOTICE	2024-02-14	중앙대학교 언론고시반 언필제에서 41기 신입반원을 모집합니다. 언필제는 2003년부터 20년간 300여 명의 언론인을 배출했으며, 2023년에는 16명의 반원이 언론사에 입사하였습니다.언필제 반원에게는 전·현직 기자·PD·아나운서로부터 받는 1:1 논작/면접 지도와 그룹 특강, 공채 대비 집중 멘토링 등 다양한 혜택이 주어집니다. 또한 중앙일보, 한겨레를 비롯한 주요 신문 및 정기 간행물과 여러 도서 제공을 통해 예비 언론인으로서의 소양을 쌓을 수 있도록 지원하고 있습니다. 언론인을 꿈꾸는 중앙인들의 많은 관심 바랍니다.◇ 지원 자격 : 중앙대학교 학부·대학원 재학생 누구나 (학과·전공 불문)(지원 분야 : 기자 / PD / 아나운서 등)◇ 서류 접수 : 2024년 2/21(수) ~ 2/27(화) 오후 6시 마감.- unpilje@naver.com으로 온라인 서류 접수.-제출서류 : 입반지원서 (본 공지 게시물의 첨부파일 참조), 관련 증빙서류1) 필수① 전(全)학년 성적증명서 (학교에서 발행하는 성적증명서 원본 스캔 제출)② 편입생은 전적 대학 성적증명서 지참 (※ 미제출 시 서류 전형 불합격 처리)③ 증명사진 원본파일 (※ 휴대폰 촬영 금지)2) 선택 (지원서에 기입한 내용 제출 필수)① 토익, 한국어능력시험 등 어학성적증명서② 기타 자격증 원본※ 기한 내 접수된 서류만 인정됩니다.※ 어학성적증명서, 자격증 원본 등은 스캔하여 제출 바랍니다.- 1차 서류 합격자 발표 : 2/29(목) 예정. 학교 홈페이지 공지사항◇ 2차 전형1) 필기시험① 일시 : 3월 초(추후 공지)② 장소 : 추후 학교 홈페이지 공지사항 게재 예정.2) 아나운서 지원자 대상 스피치 시험① 일시 : 3월 초(추후 공지)② 장소 : 추후 학교 홈페이지 공지사항 게재 예정.- 2차 합격자 발표 : 3월 중(추후 공지), 학교 홈페이지 공지사항※ 2차 합격자 발표 이후 면접 스케줄을 조율할 예정입니다. (미응답 시 불합격 처리)◇ 3차 심층 면접- 일시 : 3월 중(추후 공지), 2차 전형 합격자 개별 통보- 장소 : 면접 시간 및 장소는 합격자에 한해 추후 공지◇ 최종 합격자발표- 일시 : 3월 말(추후 공지), 학교 홈페이지 공지사항 및 개별 통보※ 각 전형 합격자 발표는 학교 홈페이지 “CAU Notice”에도 공지됩니다.◇ 문의- unpilje@naver.com, 조교 010-8076-2550 (*문자 연락)[첨부서류] 언필제 입반지원서.hwp미리보기
2024학년도 1학기 국가장학금(Ⅰ유형) 및 중앙사랑 장학금 지급기준 안내	https://www.cau.ac.kr/cms/FR_CON/BoardView.do?MENU_ID=100&CONTENTS_NO=1&SITE_NO=2&BOARD_SEQ=4&BBS_SEQ=27340	중앙대학교 NOTICE	2024-02-15	2024학년도1학기 국가장학금(Ⅰ유형)및 중앙사랑 장학금 지급기준 안내2024학년도 1학기 국가장학금(Ⅰ유형) 및 중앙사랑장학금을 아래와 같이 지급합니다.중앙사랑장학금은 국가장학금 소득구간과사전장학 신청과 연계하여 지급하므로1차 신청을 하지 못한 학생(‘24-1학기 신·편·재입학생포함)은 2차 신청기간에 반드시 신청바랍니다.※ 국가장학금 2차 신청기간 : 2024. 2. 1.(목) ~ 3. 14.(목) 오후 6시※ 사전장학 2차 신청기간 : 2024. 2. 1.(목) ~ 3.17.(일) 밤 12시(신·편입생은2월말 학번 부여 및 중앙대포털 가입 이후 사전장학 신청가능)1. 지원대상 및 선발기준장학명국가장학금(Ⅰ유형·다자녀)중앙사랑 장학금지원대상2024-1학기 국가장학금 신청자 중2024-1학기 학부 재학생2024-1학기 국가장학금 수혜자 중교내사전장학 신청자선발기준▶성적기준: 직전학기 2.5점(80점) 이상자▶이수학점: 직전학기 12학점 이상자1) 초과학기 재학생 중 국가장학금 수혜횟수가남아있는학생수혜 가능2) 장애대학생 성적기준(이수학점/백분위점수) 미적용3) 기초생활수급자·차상위계층 직전학기 12학점 이수하여1.5점(70점) 이상 취득시 수혜 가능4) C학점 경고제 : 1~3구간는 직전학기 1.5점(70점)이상~ 2.5점(80점) 미만이라도 2회에 한해 수혜가능※ 신청기간 미준수(재학생 2차 신청)시 구제신청자동 적용(재학중 2회에 한함)▶이수학점: 직전학기 12학점 이상자(단, 졸업학기는 직전학기 8학점 이상자)▶국가장학금 거절자 중 사전장학 신청자1) 성적미충족자(1.5점이상) : 지급액의 50%범위로 지급2)국가장학금 수혜횟수 초과로 인한 거절자▶지원제외대상:초과학기 재학생 등※성적은 2024학년도 국가장학금 기준 준용함.※신·편입·재입학생은 첫학기에 한하여 이수학점 기준미적용함.※국가장학금II유형의2024-1학기 지원기준은 추후 공지될 예정이며,학기말에 증서환불 형태로 지급됨.2. 장학금 지급액구분국가장학금(Ⅰ유형)중앙사랑장학금국가장학금(Ⅰ유형)국가장학금(다자녀)국가장학금수혜자국가장학금 거절자 중성적으로 인한 거절자(1.5점이상)신청자 본인 서열 첫째, 둘째신청자 본인 서열셋째 이상기초/차상위전액전액전액등록금 범위 100%등록금 범위 50%1구간285만원285만원2구간3구간4구간210만원240만원5구간6구간등록금 범위 40%등록금 범위 20%7구간175만원225만원등록금 범위 30%등록금 범위 15%8구간등록금 범위 20%등록금 범위 10%※C학점 경고제로 국가장학금 수혜 가능자는 성적충족자로 간주함.※포털에서 확인되는 장학금액은 국가장학금의 소득구간심사 및 타 장학금 지급액에 따라 변동 가능※국가장학금은 교내장학금보다 우선 지원되어,기존 교내장학금(전액장학)대상자는 장학내역이 대체 될 수 있음.3. 장학금액 조회 방법:중앙대포탈(http://mportal.cau.ac.kr)→내정보수정→개인장학내역조회※모든 장학금은 등록금 범위 내에서만 지급됩니다.4. 장학금 지급 방법:고지감면 또는 증서환불(단,한국장학재단 및 공무원연금학자금대출이 있는 학생은 대출상환으로처리되며 사학연금,일반기업 학자금 대출등은 개인 수령 후 직접 대출을 상환해야 함)※등록금 고지서에 장학금이 반영되지 않은 학생은 소득구간심사가 미완료되었거나, 국가장학금 및 사전장학 미신청자입니다. 추후 장학금 지급기준에 해당되면 장학금은 증서환불로 지급됩니다.기타 문의사항은 중앙대포털> e-상담센터에서 '학생처 학생지원팀' 또는 '교학처학생지원팀(다빈치)'을 선택하여 질문을 남겨주시기 바랍니다.2024. 2. 15.학 생 처 장/교 학 처 장
[학생생활상담센터(서울)] 2024학년도 1학기 진로 집단상담 프로그램 참여자 모집	https://www.cau.ac.kr/cms/FR_CON/BoardView.do?MENU_ID=100&CONTENTS_NO=1&SITE_NO=2&BOARD_SEQ=4&BBS_SEQ=27341	중앙대학교 NOTICE	2024-02-15	안녕하세요 학생생활상담센터(서울)입니다.2024학년도 1학기를 맞이하여 진로 집단상담 프로그램이 진행될 예정입니다.'진로를 선택할 때 나에게 중요한 것은 무엇일까?''진로 준비를 위해 무엇부터 해볼 수 있을까?'혼자 고민하고 있나요?새 학기를 시작하며 6주 간의 짧은 진로 여행을 함께 떠나봅시다!진로 준비가 시급한 3, 4학년 학생분들의 많은 신청 바랍니다!1. 일시: 2024.03.07.~04.11 매주 목요일, 오후 3시 30분 ~ 오후 6시 (6주)2. 장소: 학생생활상담센터 집단상담실(310관 B308호)3. 대상: 학부 재학생 10명 내외4. 신청: 2024.03.04(월)까지 QR코드 또는 링크 통한 접수(선착순)**신청 링크**https://forms.gle/GR3RQHhNxAQKMjny75. 절차: 신청 - 사전면담(대면) - 참가자 확정6. 문의: 학생생활상담센터 02)820-6552, sonmiyeong93@cau.ac.kr
2024학년도 신·편입생 학번 조회 및 중앙대 포탈 가입안내	https://www.cau.ac.kr/cms/FR_CON/BoardView.do?MENU_ID=100&CONTENTS_NO=1&SITE_NO=2&BOARD_SEQ=4&BBS_SEQ=27342	중앙대학교 NOTICE	2024-02-16	1. 학번조회가. 조회기간 : 2024년 2월 23일(금) 오전 10시부터나. 조회방법 : 홈페이지 조회(http://campus.cau.ac.kr/uih/UihCon90Fr.jsp)2. 중앙대 포탈 가입방법 안내가. 가입기간 :2024년 2월 23일(금) 오전 10시부터나. 가입방법 : 통합로그인 통합ID신청(https://mportal.cau.ac.kr/common/auth/SSOlogin.do) 접속 후 회원가입3. 학생증 신청 방법가. 홈페이지 안내 참조 :https://www.cau.ac.kr/cms/FR_CON/BoardView.do?SITE_NO=2&MENU_ID=100&CONTENTS_NO=1&P_TAB_NO=1&BOARD_SEQ=4&BBS_SEQ=273262024. 2.교 무 처 장
2024학년도 편입학생 예비교육 안내	https://www.cau.ac.kr/cms/FR_CON/BoardView.do?MENU_ID=100&CONTENTS_NO=1&SITE_NO=2&BOARD_SEQ=4&BBS_SEQ=27343	중앙대학교 NOTICE	2024-02-16	2024학년도 대학별 편입학생 예비교육을 아래와 같이 실시합니다.1일정 및 장소대학학과(전공)일시장소인문대학국어국문학과2월26일(월)오후2시203관810호영어영문학과2월20일(화)오후2시203관510호독일어문학전공2월23일(금)오후2시203관818호프랑스어문학전공학과 자체적으로 진행 예정러시아어문학전공2월27일(화)오후2시303관108호일본어문학전공학과 자체적으로 진행 예정중국어문학전공2월26일(월)오후2시203관818호철학과2월27일(화)오후2시203관512호역사학과2월27일(화)오후2시203관814호사회과학대학정치국제학과(02-820-5473)단과대 예비교육 없이학과별 자체 안내 진행 예정303관910호공공인재학부(02-820-5445)303관909호심리학과(02-820-5124)203관721호문헌정보학과(02-820-5144)203관514호사회복지학부(02-820-5149)203관401호미디어커뮤니케이션학부(02-820-5481)303관806호도시계획·부동산학과(02-820-5108)203관734호사회학과(02-820-6351)203관519호자연과학대학전체 학과단과대 예비교육 없이학과별 자체 안내 진행 예정사범대학교육학과2월27일(화)오후3시- 4시203관404호영어교육과2월23일(금)오후2시- 4시203관402호공과대학사회기반시스템공학부건설환경플랜트공학2월27일(화)오후3시310관414호도시시스템공학2월26일(월)오후1시온라인건축학부2월28일(수)오전9시30분온라인화학신소재공학부2월23일(금)오후2시310관315호기계공학부2월26일(월)오전10시310관514호에너지시스템공학부2월28일(수)오후3시30분310관419호첨단소재공학과2월26일(월)오전11시(다빈치) 609관302호창의ICT공과대학전자전기공학부2월27일(화)오후2시310관620호융합공학부2월26일(월)오후3시310관731호소프트웨어대학소프트웨어학부2월23일(금)오후2시310관727호경영경제대학경영학부2월27일(화)오후1시30분310관305호경제학부2월27일(화)오후4시310관305호국제물류학과2월26일(월)오후2시310관602호응용통계학과2월27일(화)오후2시310관410호광고홍보학과2월26일(화)오후2시310관601호산업보안학과2월23일(금)오후2시310관512호약학대학약학부2월29일(목)오후2시102관3층 대강당적십자간호대학간호학과2월23일(금)오후2시103관206호*전적대학 간호학 전공자 임상실습OT: 2월16일(금)오후2시103관105호생명공학대학전체 학과2월27일(화)오전10시30분온라인예술대학디자인학부(실내환경디자인)2월27일(화)오후2시(다빈치) 808관5237호디자인학부(패션)체육대학전체 학과2월28일(수)오전11시온라인예술공학대학전체 학과2월27일(화)오후2시(다빈치)810관8613호2시행안내가.대상: 2024학년도 입학하는 편입학생(일반,학사)나.예비교육 내용1)편입학생 관련 학사제도2)편입학생 졸업요건3)편입학생 수강신청 등 안내다.문의:소속대학 교학지원팀캠퍼스대학교내전화캠퍼스대학교내전화서울인문대학02-820-5047서울경영경제대학02-820-5526서울사회과학대학02-820-5077서울약학대학02-820-5591서울사범대학02-820-5079서울적십자간호대학02-820-5672서울자연과학대학02-820-5187다빈치예술대학031-670-3328서울공과대학02-820-5248다빈치생명공학대학031-670-3017서울창의ICT공과대학,소프트웨어대학02-820-5252다빈치체육대학031-670-45232024. 2.교무처장
