title	link	faculty	date	content
WISET-포스코이앤씨 원데이 멘토링 참여자 모집 홍보 (포스코이앤씨, 한국과학기술정보연구원)	https://me.cau.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=4800	기계공학부	2024-05-29	가.WISET-포스코이앤씨 원데이 멘토링」1) 모집 대상 :이공계 전공 여자 대학생, 대학원생 50명 내외(선착순)2) 활동 일정 : 6/26(수) 13시~17시 / 포스코이앤씨 송도 사옥3) 주요 활동 : 포스코이앤씨 소개, 멘토-멘티 직무별 소그룹 멘토링, Peer 멘토링 등멘토링 가능 전공 및 직무 분야신청링크건설환경플랜트공학, 건축공학, 기계공학, 기계설계공학, 토목환경공학, 화학공학 관련 전공* 플랜트기획섹션 인사관리, 건축기계 설비 설계, 공정관리 총괄, 토목사업 공정관리, 화공사업단 총괄,전사프로세스 혁신 주관, 건축 상품 기획, 이차전지 플랜트 건축 설계, 건축사업 원가 관리, 사회공헌사업 기획운영 등클릭나. 「WISET-한국과학기술정보연구원(KISTI) 취업탐색 멘토링」1) 모집 대상 :이공계 전공 여자 대학생, 대학원생 12명 내외2) 활동 기간 : 6월~9월(총 4개월, 월 1회)3) 주요 활동 : 기관 탐방(대전 본원) 및 멘토 직무 소개, 여성과학기술인 리더십 특강, 미래설계과제 수행 및 북 멘토링, 소그룹 멘토링 및 진로고민 상담 등멘토링 가능 전공 및 분야신청링크물리학, 정보/통신, 화학, 환경 관련 전공* 계산과학, 나노과학기술, 데이터과학, 문헌정보학, 물리학, 산업공학, 응용과학, 화학, 환경보건학, 환경독성학 등클릭다. 신청 기한 및 방법1) 모집 기간 : ~ 6월 18일(화) 24시2) 신청 방법 : WISET W브릿지(www.wbridge.or.kr) > 네트워킹 > 글로벌 멘토링에서 신청- 포스코이앤씨 공고 URL : bit.ly/3QVwBHK- 한국과학기술정보연구원 공고 URL : bit.ly/3ypRwMr라. 요청 사항:이공계 학과 및 취업지원센터 게시판 내 웹초청장 게시, 학과 게시판 공지등마. 문 의 처: WISET 인재육성팀(hjhong@wiset.or.kr, 02-6411-1023).
2024학년도 1학기 성적조회 및 성적이의신청 안내	https://me.cau.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=4801	기계공학부	2024-05-31	2024학년도1학기 성적조회 및 성적이의신청 안내2024-1학기 성적조회 및 이의신청 기간을 아래와 같이 공고 합니다.1성적조회 등 일정구 분일 정성 적 조 회2024년7.2.(화)오전10시~ 7.7.(일)밤12시성적이의신청2024년7.2.(화)오전10시~ 7.6.(토)밤12시성적증명서 발급가능일7.8.(월)오후2시 이후가.강의평가기간 중 수강과목 전체를 평가를 완료해야 성적조회 및 성적이의신청을 할 수 있습니다.나.폭력예방교육을 반드시 이수해야 성적조회가 가능합니다.(http://genderedu.cau.ac.kr/)에서 수강 및 수강여부 확인 가능)다.성적 조회 후 이상이 있을 시 성적정정기간 내에 담당교수님께 확인(정정)을 요청할 수 있습니다.2성적조회 및 이의신청중앙대학교 성적조회 사이트(http://grade.cau.ac.kr)에서 성적확인 및 성적이의신청 가능3성적이의신청 이용방법성적조회 사이트(http://grade.cau.ac.kr)로그인→성적조회→‘금학기 성적조회 및 성적이의신청’→금학기 성적조회→이의가 있는 경우‘이의신청’클릭→성적이의신청대상과목 선택→성적이의신청내용 작성→작성완료 후‘신청하기’클릭4성적이의신청회신 및 성적정정가.담당교수님은 성적이의신청 내용을 확인 후 포털에 답변기재나.성적이의신청이 타당하고 인정된 경우에만 성적정정기간 중 성적정정5유의사항가.시스템을 통한 성적이의신청 및 회신은 한 과목당1회에 한합니다.나.강의평가 미실시자 및 폭력예방교육 미이수자는 시스템을 통한 성적이의신청을 할 수 없습니다.다.성적이의신청 시,담당교수님께 성적이의신청SMS또는 카카오 알림톡이 즉시발송되므로,사생활을 침해할 수 있는 심야,새벽시간 성적이의신청은 자제하여 주시기 바랍니다라.성적이의신청제도가 취지에 맞게 잘 활용될 수 있도록 무분별한 사용(감사인사만 기재,근거없는 성적상향조정요청 등)은 자제하여 주시기 바랍니다.2024. 6.교무처장
2024년 한국형 온라인 공개강좌(K-MOOC) 상시 운영 안내 및 홍보	https://me.cau.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=4802	기계공학부	2024-06-04	2024년 한국형 온라인 공개강좌(K-MOOC) 상시 운영 안내 및 홍보안내사항1) K-MOOC 홈페이지(https://www.kmooc.kr/)에서 회원가입 후 무료 수강2) 과목별 이수 기준 충족 시, 이수증 자동 발급3) 중앙대학교 K-MOOC 수기공모 이벤트 참여 시, 선정을 통해 기프티콘 제공4) 강좌 소개 및 이벤트 관련 자세한 사항은 각 강좌 개요 및 공지사항 확인문의:중앙대학교 원격교육지원센터(elearning@cau.ac.kr/02-820-6441~6444)
전기분야 과정평가형 자격 교육훈련기관 수요조사 (~6/7까지)	https://me.cau.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=4803	기계공학부	2024-06-04	전기분야 과정평가형 자격 교육훈련기관 수요조사 (~6/7까지)전기·에너지·자원산업 인적자원개발위원회(대표기관 : 한국전기공사협회)는 산업계의 정책 및 제도, 기술변화 등 현안사항에 대한 조사·분석을 통해 시의성 있는 인적자원개발 이슈를 발굴하고 직업능력개발 정책 및 제도의 효용성 강화를 목적으로 다양한 사업을 추진하고 있습니다.정부는 산업현장 일 중심의 우수기술 인력을 배출하기 위해 과정평가형 자격을 운영하고 있으며, 현재 전기분야는 과정평가형 자격이 부재한 상황입니다. 이에 특성화고, 전문대학, 폴리텍 대학, 직업훈련기관 등의 교사, 교수, 학생을 대상으로 전기분야 과정평가형 자격에 대한 수요를 긴급하게 조사하오니 많은 참여를 바랍니다.가. 참여대상 : 특성화고, 전문대학, 대학, 직업훈련기관 등 교사, 교수, 학생나. 설문기간 : 2024. 6. 7.(금) 18시까지다. 참여방법 : URL과 QR코드를 통한 PC, 모바일 참여
[긴급][두산에너빌리티] 2024 두산에너빌리티 채용연계형 인턴십 추천서 안내(~06.05(수)낮12시까지 제출)	https://me.cau.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=4804	기계공학부	2024-06-04	[두산에너빌리티]2024 두산에너빌리티 채용연계형 인턴십 추천서 안내* 지원자 중 10명+α의 학생을 선발하여 인턴십 추천서를 배부할 예정입니다.커리어두산에 입사지원 완료 후, 배부받은 추천서는 지도교수님과의 상담을 통해 추천사유,서명을 받아학생 본인이 스캔하여 메일로 제출 및입사지원 마감 전까지 추천서 원본을 두산에너빌리티 HRM팀으로 제출하여야 추천이 인정됩니다. (추천서 뒷면에 제출방법 안내되어 있음)더불어, 추천서를 받은 학생의 경우에는 반드시 커리어두산에 직접 입사지원을 하여야 합니다. 추천서만 내면 인정 안됩니다.-제출서류 : 지원서(첨부파일), 졸업생은 졸업증명서/재학생은 재학증명서, 성적증명서, 어학 자격증 사본-제출 시 메일 제목 :2024 두산에너빌리티 채용연계형 인턴십 추천 지원-학번, 이름 기재- 제출일시 : 2024.06.05(수) 낮12시까지 syayo@cau.ac.kr로 제출- 추천자 수 : 10명+α-하기 그림에서 지원 자격을 반드시 확인하여 주시기 바랍니다. 지원 자격이 되는 학생에 한해서만 인턴십 추천서가 배부되오니 참고 바랍니다.2024 두산에너빌리티 채용연계형 인턴 대규모 채용 공고는 취업공지사항에 게시되어 있사오니 참고하여 주시기 바랍니다.https://me.cau.ac.kr/bbs/board.php?bo_table=sub5_3&wr_id=4722
[업데이트2]2024-1 기계공학부 기말시험 일정및유형안내(공정관리지침,이클래스운영가이드,서약서작성재안내)	https://me.cau.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=4805	기계공학부	2024-06-07	<★2024학년도 1학기 기계공학부 기말시험 일정 및 유형, 공정관리 지침 및 이클래스 운영가이드 및 서약서 작성 안내><업데이트1(2024.06.10)>* 냉동및공조설계 : 시험일자 변경- 변경 전 : 2024-06-21-변경 후 : 2024-06-14<업데이트2(2024.06.11)>* 컴퓨터응용 3분반, 4분반(이기욱 교수님) : 시험장소 변경- 변경 전 : 3분반 : 517호, 4분반 : 514호-변경 후 :3분반 : 418호, 4분반 : 418호2024-1학기 기계공학부 기말시험 일정 및 유형, 이클래스를 활용한 시험 유형 가이드 및 부정행위자 처분공고를 공지하오니 시험에 차질이 없도록정보를 확인하시기 바랍니다.1. 이클래스를 활용한 시험 운영 가이드 및 응시 유의사항 (붙임2)2.서약서 작성가.기간: 2024. 6. 3.(월) 10:00 ~ 2024. 6. 22.(토) 24:00나.방법:포탈 접속 및 작성※서약서 작성과 더불어 부정행위자 처분 공고(붙임1)를 확인하시기 바랍니다.4.유의 사항:온라인 방식(e-class)시험인 경우 시험 시간보다최소 10분 ~ 20분 미리접속5.시험 및 수업 관련 문의처학과 (부)전화번호사회기반시스템공학부 건설환경플랜트공학02-820-5253사회기반시스템공학부 도시시스템공학02-820-5845건축학부02-820-5260화학신소재공학부02-820-5268기계공학부02-820-5276에너지시스템공학부02-820-5867첨단소재공학과031-670-4551붙임 1.2024-1학기 기말시험 간 부정행위자 처분 공고 1부.붙임2. 이클래스를 활용한 시험 운영 가이드 및 응시 유의사항(학생용) 1부.붙임3. Exams and Precaution on LearningX LMS_ for student 1부.붙임 4. 2024-1학기 기계공학부 기말시험 유형 및 시간표 1부.붙임 5. 2024-1학기 공학계열 기말시험 강의실 개방 안내 1부.<1학기 중간시험 관련하여 첨부파일 내용을 참고하여 주시기 바랍니다.>
2024-1학기 기말시험 개방 강의실 안내	https://me.cau.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=4806	기계공학부	2024-06-10	2024-1학기 기말시험 개방 강의실 안내2024-1학기 기말시험 개방 강의실 안내드립니다.첨부파일을 참고해주시기 바랍니다.
2024「안전실천 캠퍼스」대학생 참가자 모집 협조 요청(~6.28)	https://me.cau.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=4807	기계공학부	2024-06-12	2024「안전실천 캠퍼스」대학생 참가자 모집 협조 요청(~6.28)가. 지원자격:「고등교육법상」대학에 재학중인 학생나. 활동내용: 전공, 관심사, 동아리 활동 등과 관련된 안전분야를 주제로 캠퍼스 및 지역사회를 위한 안전문화 캠페인다. 활동기간: '24. 7. 5. ~ 9. 13.(70일) ※ 오리엔테이션(7.5.), 성과보고회(10.11.) 포함라. 모집일정: '24. 6. 10. ~ 6. 28.마. 모집인원: 10팀 내외바. 지원방법: 포스터 내 QR코드를 통해 지원서 양식을 받아 이메일* 제출* (메일주소) koreasafecampus@gmail.com사. 활동 혜택- 안전실천 캠퍼스 활동비(100만원) 지원- 우수 활동팀 행정안전부 장관상(1점) 수여- 활동 인증서 제공(공문형식)- 봉사활동 시간 인정
2024년 장애-비장애 학생 팀 프로젝트 프로그램 모집 안내 (~7/16일 16시까지)	https://me.cau.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=4808	기계공학부	2024-06-12	2024년 장애-비장애 학생 팀 프로젝트 프로그램 모집 안내 (~7/16일 16시까지)가. 프로그램 : 2024년도 장애-비장애 학생 팀 프로젝트 프로그램나. 주    제 : 과학기술을 통해 해결책을 제안할 수 있는 사회 문제라. 지원내용 : 교육 및 멘토링, 프로젝트 기간 숙박 및 식비 일체 지원, 시상 및 상금마. 신청자격 : 이공계열 대학(원)생 및 졸업 후 2년 이내 미취업자 등(붙임 공고문 참조)※ 팀당 장애 학생 최소 1인 이상 포함, 대학생은 팀원으로 참여 가능바. 신청기간 : 7월 16일 16:00까지(이메일접수, support@kird.re.kr)사. 문 의 처 : 경력성장실 김리원 연구위원(rwkim@kird.re.kr, 042-820-4054)
2024학년도 학부생 대상 학술정보 활용교육 안내	https://me.cau.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=4809	기계공학부	2024-06-13	가. 교육 안내1) 교육 방식:오프라인, 온라인실시간 또는 동영상2) 교육 유형: 정기 교육, 수시 교육(수업 연계), 동영상 교육(CAU-ON)3) 교육 과정과목명교육 목적 및 내용수강 대상도서관 기초 활용(60분)- 목적: 도서관 시설, 대출/반납 등 기본적인 도서관 이용 방법에대한 이해- 내용: 도서관 시설 이용 안내, 도서관 기본 서비스(도서 대출/반납, 전자책, 홈페이지 메뉴) 이용 안내,도서관 홈페이지를 활용한 기초 검색 및 서비스 소개도서관을처음 이용하는구성원A+레포트 만들기: 내용부터 형식까지(90분)- 목적: 레포트 작성을 위한 자료 검색 방법 습득과 레포트 형식 이해- 내용: 레포트 작성 단계 및 단계별 주요 사항, 레포트 내용을 위한온라인 자료 검색 및 활용, 레포트 작성 양식,인용 및 참고문헌 작성 양식레포트 작성에도움이 필요한학부생나. 신청 안내1) 정기 교육가)매월 정해진 일정에 따라 학술정보원 홈페이지를 통한 교육 신청, 수강나) 대상: 교내 구성원(학부생, 대학원생, 교직원 등)다) 신청 방법: 학술정보원 홈페이지→[학술정보활용교육]을 통해 신청라) 교육 일정은 전월 말 확정하여 학술정보원 홈페이지 공지, 이메일로 안내2) 수시 교육가)연중 희망 일정, 방식 조율 후, '그룹 단위'교육 신청, 수강나) 대상:최소 10명 이상의 그룹 또는 수업 단위다)신청자의 요청에 따라 교육 내용 추가, 수정 가능라) 신청 방법: '다. 관련 문의'의 연락처를 통해 신청3) 동영상 교육가)연중 상시교내 동영상 강좌 사이트(CAU-ON)을 통해 동영상 교육 수강나) 대상: 교내 구성원(학부생, 대학원생, 교직원 등)다)'학술정보 활용교육'으로 검색 후, 희망 강좌 개별 신청 및 수강라) 교육 진도 100% 이수 시 교육 이수증 온라인 개별 발급, 출력 가능다. 관련 문의1) 도서관 기초 활용(60분): 820-6178 / ysbac@cau.ac.kr2) A+레포트 만들기(90분): 820-6193 / pcsmate@cau.ac.kr라. 기타- 위 학부생 대상 교육 이외의 대학원생 대상 교육은 매월 공지되는학술정보원 공지사항과 이메일 내용을 참고 바랍니다.  끝.
