title	link	faculty	date	content
★2022년 심리학과 졸업사정 세부기준표 및 졸업 체크리스트 안내	https://psyche.cau.ac.kr/notice/sub01.asp?page=VIEW&IDX=4362&tb=notice_major	심리학부	2019-06-12	졸업사정 기준표안내​2022년 기준 심리학과 졸업사정 세부기준표와 자가진단 체크리스트 보완내용입니다.졸업 또는 수료를 희망하시는 학생들께서는 졸업사정에 앞서 참고해주시기 바랍니다.​첨부내용:﻿1) 2020. 04사회과학대학 심리학과 졸업사정 세부기준표 업데이트﻿全학과(부)주전공생,전과생,복수전공생 등심리학과 교과과정 적용 설명졸업시험 합격기준 추가. 전공 기초 및 필수 과목의 개설학기 추가.​2)심리학과 졸업(수료)자가진단 체크리스트자세한 사항 사회과학대학 홈페이지 참고-https://society.cau.ac.kr/community/notice/View.asp?IDX=10340​-https://society.cau.ac.kr/community/notice/View.asp?IDX=10336&start=&search=&searchkey=홈페이지 게시일자: 2022.05.11(수)
2019-2학기 수강신청 일정안내	https://psyche.cau.ac.kr/notice/sub01.asp?page=VIEW&IDX=4363&tb=notice_major	심리학부	2019-06-12	2019-2학기(학부)수강신청시행 계획(안)구 분일 정비 고강의시간표 조회(홈페이지)2019.7.22.(월)-강의계획서,강의평가결과 동시 공개-강의시간 변경 불가수강신청사전테스트장바구니 테스트2019.7.24.(수) 10:00~16:00-테스트 종료 후 수강신청 자료는 일괄 삭제(담당직원 테스트 일정: 7.17. ~ 7.19.(예정))짝수학번 테스트2019.7.25.(목) 10:00~16:00홀수학번 테스트2019.7.26.(금) 10:00~16:00장바구니 담기(1차)2019.8.6.(화)~8.7.(수)(2일간)-재학생,복학예정자·수강신청 제한학점까지만 가능(수요조사 자료로 활용)·시간 중복 담기 불가-예비과목: 20과목(시간표중복 확인 안함)·수강신청 제한학점 이외 담기 가능·수강신청 시 편리하게 활용1차 장바구니 자료 활용2019.8.8.(목)~2019.8.11.(일)-교육여건 감안 추가 분반,강의실 변경,여석조정 자료로 활용장바구니 수정(2차)2019.8.12.(월) 10:00~24:00-기존 장바구니 참여자만 수정 가능(복학허가자 가능)2차 장바구니 자료 활용수강여석 입력2019.8.13.(화) ~ 2019.8.14.(수)-장바구니 수정자료를 활용하여2차분반,강의실 변경,여석조정- 8.14.(수)이후 여석조정 불가장바구니자료 일괄 이관과목별 잔여여석 공개2019.8.16.(금)-강좌별4개 영역별로 구분하여 장바구니담은 인원이 수강정원 보다 적은 영역은수강신청 과목으로 자동 처리 함.(수강신청기간에 정정 가능)※4개영역 구분:자과자학년/자과타학년/복수,연계,융합전공/타학과,부전공수강신청짝수학번(학번 맨 끝자리 짝수)2019.8.20.(화) 10:00~18:00마감시간18시과목별 수강정원 공개홀수학번(학번 맨 끝자리 홀수)2019.8.21.(수) 10:00~18:00전체2019.8.22.(목) 10:00~24:00일반대학원생 선수과목 수강신청 가능(타/부 여석)외국인 교환학생 수강신청 가능2019-2학기 개강2019.9.2.(월)수강신청 정정2019.9.2.(월) 10:00~9.7.(토) 24:00수강정원 통합 적용수강과목 취소(개강4주차)2019.9.23.(월) 10:00~ 9.28.(토) 24:00※유의사항-1차 장바구니 담기 기간(8/6~8/7)에 담기를 하지 않으면2차 장바구니 수정기간(8/12)을 이용할 수 없음. (단, 2019-2학기 복학허가자는 가능)-수강신청 학점 이월제당해 연도(2019-1학기)에 수강과목 취소 전까지 기준으로15학점 이상수강신청 한 학생에 한하여잔여학점을 당해 연도2019-2학기로 이월하여 수강신청 할 수 있음.(단,수강과목 취소기간에 취소한 과목의 학점은 이월 안 되며, 2학기 기본수강 신청학점의 잔여학점은 다음 해1학기에 추가로 신청할 수 없음)-학번 구분 방법학번 맨 끝자리가1,3,5,7,9홀수인 학생–예) 20150001인 경우 홀수학번 맨 끝자리가0,2,4,6,8짝수인 학생–예) 20150002인 경우 짝수※수강신청 테스트 일정(7/24~7/26)이전에 변경된 수강신청 로직 테스트를 위해7/17~7/19까지 수강신청 프로그램을 임시로 오픈하여 수강신청 담당자(직원)가 테스트를 진행할 예정이오니 참고하시기 바랍니다. [테스트 한 수강신청 자료는 일괄 삭제됨]2019.6.10.교 학 부 총 장​
2019-1학기 기말고사 시간표 및 강의실 배정	https://psyche.cau.ac.kr/notice/sub01.asp?page=VIEW&IDX=4364&tb=notice_major	심리학부	2019-06-13	2019-1학기 기말고사 시간표 게시합니다.공지 늦어진 점 양해부탁드립니다.참고해주시고 특별히 분반이 있는 과목의 시험강의실에 대하여착오 없으시길 바랍니다.감사합니다.​※ 수정사항 : 현명호 교수님의 건강심리학 6월 18일 화요일에 수업 없습니다.6월 20일 목요일에 기말시험이 진행됩니다.​
2019학년도 1학기 기말고사 성적확인 안내	https://psyche.cau.ac.kr/notice/sub01.asp?page=VIEW&IDX=4365&tb=notice_major	심리학부	2019-06-13	2019학년도 1학기 성적확인 메뉴얼 올려드립니다.자료를 참고하시어 착오 없으시길 바랍니다.성적조회기간 :2019.7.1.(월) 오전 10시 ~ 2019.7.5 (금) 밤 12시성적이의신청 : 2019.7.1.(월) 오전 10시 ~ 2-10.7.4.(목) 밤 12시성적정정기간: 2019.7.3.(수) ~ 2019.7.5.(금) 밤 12시보관성적이관 : 2019.7.8.(월) 오전
2019-1학기 교직 적성 및 인성검사 실시 안내	https://psyche.cau.ac.kr/notice/sub01.asp?page=VIEW&IDX=4366&tb=notice_major	심리학부	2019-06-14	2019-1학기 교직 적성 및 인성검사 실시 안내1.교육부「교원자격검정령」에 근거하여교직 적성 및 인성검사 적격 판정 제도가 실시됩니다.이에따라 교직과정을 이수 중인 자는 재학 중 교직 적성 및 인성검사에적격 판정을 받아야교원자격증이 발급이 가능합니다.대상적격판정 필요횟수비고2012학년도 이전 입학자1회법령 개정 이전 입학자라도2013년8월 이후 졸업자에게는 모두 적용함2013학년도 이후 입학자2회※한 학기에1회만 응시 가능하므로,졸업 학기까지 사전에 계획을 세워 응시하여야 함–가급적 입학(교직선발)연도에1회 응시 요망※부적격 판정되는 경우 동계 방학 중 교내에서 진행되는 적인성 소양 함양 프로그램 이수 및 재시험의 절차를 거쳐야 함2.이에 교직과정 이수자 중2019-1학기 교직 적성 및 인성검사에 응시하고자 하는 대상자는 다음의 내용을 확인하시어 신청하시기 바랍니다.가.응시대상▶사범대학,일반대학 교직과정,교육대학원에서 교원자격증 취득 과정을이수(재학,휴학,수료 포함)중인 자로 이번 학기 교직 적성 및 인성검사에 응시를 희망하는 자※교육대학원은교원자격증 취득 과정만 해당(상담심리,진로진학상담(부전공 과정)포함)※2019년8월 졸업예정자 중 아직 교직 적성 및 인성검사에 응시하지 않은 대상자는 반드시 시험에 응시하여야 합니다(적격판정을 받지 않고 졸업하는 경우 교원자격증 발급 불가).회차일시장소유의사항1회차6/21(금) 19:00-20:00서울캠퍼스203관5F강의실▶시험시간20분 전까지 입실(※입실시간 준수)*시험시작15분 경과 후 부터는 입실 불가▶반드시 신분증(학생증 가능)및컴퓨터싸인펜 지참▶수정테이프 사용 가능▶신청 후미응시나 응시회차 변경불가▶강의실은 시험일 하루 전SMS안내2회차6/22(토) 11:30-12:30서울캠퍼스203관5F강의실3회차6/24(월)14:00~15:00서울캠퍼스203관5F강의실나.응시일시 및 장소(3개 회차 중 원하는 일자 선택/한 학기에1회만 신청가능)다.신청기간:6/14(금) ~ 6/19(수) 24:00※신청기간 엄수(기간 종료 후 추가 신청이나,일자 변경 절대 불가)라.신청방법:레인보우 시스템에서 신청▶레인보우(rainbow.cau.ac.kr)→포탈아이디로 로그인→상단 역량개발 하단 비교과프로그램 선택→검색창에서“[교직]2019-1학기 교원양성과정 교직 적성 및 인성검사 신청”검색→응시를 희망하는 일자 선택 후 신청 버튼 클릭※신청이 완료되면,『신청상태(강좌상태 아님)』에“신청대기”로 표시되며,별도 안내가 없어도 본인이 신청한 일 자에 응시(별도 유선확인 필요 없음)마.문의:교직팀(02-820-5080)※응시 후 판정 결과는SMS발송 예정이므로,포탈에 기재된 연락처 확인 요망※응시 결과 부적격자는 이번 방학 중 별도의 상담이수 및 재검사를 통해 적격 판정을 받아야 함(지난 학기 부적격자 중 아직 재시험에 응시하지 않은 대상자는 이번 학기 본시험 응시 불가)2019. 6. 12.사범대학 교직팀​
각 군 현역병 모집일정(7월)	https://psyche.cau.ac.kr/notice/sub01.asp?page=VIEW&IDX=4367&tb=notice_major	심리학부	2019-07-01	2019년 7월에 지원하여 10월 입영예정인 각 군 현역병 모집일정 게시합니다.병역설계에 참고하시기 바랍니다.감사합니다.
무시험검정원서 제출 안내	https://psyche.cau.ac.kr/notice/sub01.asp?page=VIEW&IDX=4368&tb=notice_major	심리학부	2019-07-01	2019-1학기 교원자격 무시험검정원서 제출 안내1.대상○사범대학 및 일반대학 교직설치학과에서 교직과정을 이수한2019년8월 졸업예정자로서중등학교 정교사(2급),유치원 정교사(2급),보건교사(2급),사서교사(2급),전문상담교사(2급),영양교사(2급)교원자격증 취득을 희망하는 자2.제출기간○2019년6월14일(금) ~ 6월28일(금) [※기간엄수]3.제출서류①무시험검정원서 및 개인정보제공동의서1부【첨부 서식 이용】②성적증명서1부③2019-1학기 수강신청 확인원1부(학기 종료 시까지만 출력 가능)(포탈→수강신청(sugang.cau.ac.kr)→수강신청확인원에서 출력,별도의 서명이나 확인란에 도장 필요없음/수료생-제출하지 않음)④졸업예정증명서1부(※수료증명서 불가)⑤간호사 합격확인서 및 면허증 사본1부(간호학과만 해당) -본 서류는 추후 제출⑥영양사 합격 확인서 및 면허증 사본1부(식품영양전공만 해당) -본 서류는 추후 제출※제반서류는6개월 이내 발급된 것에 한함※구비서류 순서에 맞추어 제출 요망4.접수처:소속 학과 사무실5.기 타가.성적기준 충족▶‘09~’12년 입학자:전체 평균성적75점 이상▶‘13년 이후 입학자:전공과목 전체평균75점,교직과목 전체평균80점 이상나.교과과정의 변경 등으로 동일명칭의 기본이수과목(바로가기)을 이수하지 않은 경우,기본이수과목일치 증명서(download)를 학과사무실에서 확인받은 후 무시험검정원서와 함께 제출하여야 함다.교직 적성 및 인성검사에2012학년도 이전 입학자는1회, 2013학년도 이후 입학자는2회 적격 판정을 받아야 함【공지사항 바로가기】라.응급처치 및 심폐소생술 실습을2회 이수하여야 함【2016.3.1.법령 개정 적용 공지사항 바로가기】마.무시험검정원서 신청을 하지 않은 학생은 교원자격증이 발급되지 않으니 기간 내에 반드시 제출하여야 함6.문 의:02)820-5080 [교직팀]2019. 6. 13.사범대학 교직팀​
2019학년도 2학기 재입학, 복학, 휴학 신청 안내	https://psyche.cau.ac.kr/notice/sub01.asp?page=VIEW&IDX=4369&tb=notice_major	심리학부	2019-07-03	2019-2학기 재입학,복학,휴학 신청 안내◆재입학 신청기간 및 방법1,신청기간: 2019.7.8.(월) ~ 2019.7.12.(금) (매일 오전9시~오후4시 방문접수)※이전 소속 단과대학 교학지원팀에 학과(부)장 면담 여부를 문의 후 방문 요망2.신청방법재입학원서 교부(이전 소속 단과대학 교학지원팀에 신청자가 방문) ->학과(부)장 면담->재입학원서 접수(단과대학 교학지원팀)3.재입학 요건가.제적 및 자퇴 후1년이 경과된 자.다만,미등록 제적자나 미복학 제적자는1학기 이후 재입학 신청이 가능함.나.학사경고 제적자는 제적1년 이상 경과 후1회에 한하여 재입학을 신청할 수 있다.[학과(부)장 면담 후 의견서 첨부]4.재입학여부: 2019.7.26.(금)이후 소속 단과대학 교학지원팀에서 개별 안내함.5.유의사항가.퇴학자,재입학심의를 통과하지 못한 자,재학연한이 초과된 자는 재입학을 허가하지 않는다.나.재입학의 요건은 갖추었으나 여석이 없을 경우에 재입학을 허가하지 않는다.​​◆복학신청 기간 및 방법1.신청기간: 2019.7.29.(월)오전10시~ 2019.8.5.(월)18시​2.신청방법가.중앙대 포탈(http://mportal.cau.ac.kr)에 접속한 뒤ID / PW입력 후 로그인->학사마당->학적변동신청->복학신청->허가(교학지원팀) ->확인(학생본인)​3.제대복학 서류제출가.온라인으로 전역증 또는 주민등록초본을 스캔하여 복학신청서 화면의 전역증(필수)란을 클릭하여 저장 후 제출함.나.학기 개시 후4주 이내에 전역이 가능한 자는 이를 증빙할 수 있는 확인서(부대장확인서)를 첨부하여 제대복학을 신청할 수 있음.단 복학신청은 기간 내에 제출해야 함.​◆휴학신청 기간 및 방법1.신청기간: 2019.7.29.(월)오전10시~ 2019.9.27.(금)18시(※매일23시~01시까지는 은행 점검 시간으로 인해 휴학처리가 불가하오니 해당시간을 피해 휴학 신청을 해주시기 바랍니다.)​2.신청방법가.중앙대 포탈( (http://mportal.cau.ac.kr)에 접속한 뒤ID / PW입력 후 로그인->학사마당→학적변동신청→휴학신청→허가(교학지원팀)→확인(학생본인)​3.입대휴학 서류제출가.온라인으로 입영통지서 사본1부(군복무 확인서(복무중인 경우)를 스캔하여 휴학신청 화면의 입영통지서(필수)란을 클릭,해당이미지 파일을 저장하여 제출함나.서류를 방문 제출하는 경우 소속대학 교학지원팀에 방문하여 휴학신청서 및 서류제출을 해야 함​4.창업휴학 신청 절차1234567학생신청 및 심사서류 업로드(중앙대 포탈)→학생신청사항을LINC사업단으로 심의요청→서류심사(필요시학생면담)→현장조사→위원회 심의→소속 단과대학 최종 승인 여부 결정→신청학생에게 통보학생소속단과대학LINC사업단 창의인재교육센터소속 단과대학창업휴학 신청 시 제출서류 양식(창업휴학신청서,사업자등록증 및 법인등기부등본,사업계획서,현장점검신청서,기타 필요자료(요청 시)을 포탈에서 다운받은 후 작성하여 반드시1개 파일로 붙여서 업로드 해야 심사가 가능함.5.기타가.상기의 휴학신청 기간을 지나 질병 또는 기타 부득이한 사유로 휴학신청을 하는 경우기말고사 시작1주일 전인2019년10월14일(월)까지 해당 사유를 증빙하는 서류를 교학지원팀에 제출하여(허가)를 받아야 함.나.제출서류1)질병:종합병원에서 발행한4주이상의 치료를 요하는 진단서2)기타:해당 사유를 입증할 수 있는 서류​​
203관 석면 철거 공사로 인한 학과 사무실, 학생회실 폐쇄 및 이전 안내	https://psyche.cau.ac.kr/notice/sub01.asp?page=VIEW&IDX=4370&tb=notice_major	심리학부	2019-07-08	203관 석면 철거 공사로 인하여 심리학과 사무실(721호) 및 심리학과 학생회실(722호)을 일시적으로 폐쇄합니다.공사기간 중 203관 서라벌홀 405호를 임시사무실로 사용할 예정입니다만집기 이전 등으로 인해 원만한 민원 처리가 어려울 수 있습니다.학생 및 방문객 여러분의 많은 양해 부탁드립니다.감사합니다.공사기간 : 7/11 (목) ~ 7/23 (화)방학 중 학과 사무실 운영시간 : AM10:00-PM04:00​
제15회 KMAC 경영혁신 사례연구 대학(원)생 공모전(~7/12)	https://psyche.cau.ac.kr/notice/sub01.asp?page=VIEW&IDX=4371&tb=notice_major	심리학부	2019-07-08	
