title	link	faculty	date	content
208관 실습실 사용 안내	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1563&offset=1	소프트웨어학부	2019-10-23	208관 415호 : 09시~18시 개방208관 515호, 519호 : 24시간 개방208관 601호 : 24시간 개방 (48명이하 규모 수업시간일 경우, 노트북 자리 및 프로젝트5호실 사용가능. 즉, 48명이상 수업시간이면, 601호 전체 사용 불가)출입시 학생증이 필요합니다.
(필독) 영어교과목 이수 안내	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1684&offset=1	소프트웨어학부	2020-03-11	졸업에 필요한 영어교과목 이수 안내입니다. 첨부파일을 참고하시기 바랍니다.*대체요건: 전공과목 중 영어A 과목 2과목 이수
온라인 강의 수강 안내(학생용 가이드 2020.4.23.업데이트)	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1728&offset=1	소프트웨어학부	2020-04-29	온라인 강의 관련 안내입니다. 첨부파일을 참고하여 주시기 바랍니다.
대학원 학석사 연계과정 공지	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1864&offset=1	소프트웨어학부	2020-11-09	대학원 학석사 연계과정에 대한 안내입니다.학/석사 연계목표학/석사 전공명인공지능인공지능과 빅데이터 기술 산업을 융합한 인간 중심SW개발 인재 양성빅데이터 전공스마트IoT클라우드,정보보안기술 기반의 응용시스템 개발 전문 인재 양성사이버물리시스템 전공디지털미디어융ㆍ복합 창조 기술과 이에 따른 새로운 콘텐츠를 활용할 수 있는 인재 양성사이버물리시스템 전공엔터프라이즈SW다양한 타입의IT지식서비스 기획/분석을 할 수 있는 인재 양성시스템 소프트웨어 전공소프트웨어ㆍ인문문학의 장점과 소프트웨어의 장점을 융합한 창의적 인재 양성빅데이터 전공사이버보안융ㆍ복합적 보안 위험요소에 대해 입체적으로 대응할 수 있는 인재 양성시스템 소프트웨어 전공테크놀로지아트새로운 콘텐츠 산업,전시 산업,음향산업의 최고 수준의 융합 인재 양성응용 소프트웨어Tech-Music컴퓨터음악 및 사운드 분야와 문제를SW적으로 해결하는 인재 양성응용 소프트웨어자세한 사항은 첨부파일을 확인하여 주시기 바랍니다.
자퇴 신청 절차 안내	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1943&offset=1	소프트웨어학부	2021-01-04	자퇴 신청 절차는 다음과 같습니다:(2025년 2월 3일 이후로 변경된 내용입니다)1. 포탈학생화면 - 학사마당- 학적변동신청-'자퇴신청서 양식' 메뉴 접속 (학생)2. 중퇴 설문조사 실시 (학생) :메뉴 접속 시 하단 화면 노출, 설문조사 시작3.자퇴신청서양식 다운로드및 작성 (포탈 내 메뉴, 학생) :설문 완료 시 하단의 자퇴신청서 양식을 학생이 다운로드 및 출력 가능4.양식 작성 후학부장(백정엽 교수님) 면담후 서명 받기 : 학부장님께 연락드리기(면담일정 잡거나, 전화면담)5.교학지원팀(310관 318호)에 서류 제출 (본인 신분증 원본지참)6. 자퇴 승인 여부 확인 (자퇴 승인 시 문자 발송)자퇴 관련 기타 문의는 교학지원팀(02-820-5252)으로 바랍니다.학부장님 이메일 :jpaek@cau.ac.kr학부장님 사무실 위치: 310관 750호학부장님 교내전화 : 02-820-5402
수강신청 시스템 사용 매뉴얼	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1956&offset=1	소프트웨어학부	2021-01-19	수강신청 시스템 사용 매뉴얼 안내드리오니 참고하여 주시기 바랍니다.
2021 공학교육 인증 안내서	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1989&offset=1	소프트웨어학부	2021-03-15	2020, 2021 공학교육인증 안내서입니다.
성적확인 및 이의신청 방법 안내	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2076&offset=1	소프트웨어학부	2021-06-01	성적확인 및 이의신청 방법 안내입니다.강의평가 미실시자,폭력예방교육 미이수자는 성적조회/성적이의신청 불가하오니 기한 내 완료하여 주시기 바랍니다.성적입력 관련 일정구 분일 정채점표 출력2021.06.09.(수) 오후 2시부터성적입력2021.06.14.(월) 오전 10시 ~ 26.(토) 밤 12시성적조회2021.06.28.(월) 오전 10시 ~ 07.01.(목) 밤 12시성적이의신청2021.06.28.(월) 오전 10시 ~ 30.(수) 밤 12시성적정정2021.06.30.(수) 오전 10시 ~ 07.01.(목) 밤 12시보관성적 이관2021.07.02.(금) 오전 중
코드쉐어 지침 개정 공포	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2138&offset=1	소프트웨어학부	2021-08-12	가. 개정사유: 학칙에 어긋나는 조항 삭제 및 내용 보완나. 개정내용1) 소속학부에 미개설 교과목은 코드쉐어에 해당하지 않음을 추가 명시2) 2조 7항 삭제다. 개 정 일: 2021. 09. 01.일자
2018학번 졸업요건 "TOPCIT 점수 제출 의무" 면제 안내	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2177&offset=1	소프트웨어학부	2021-10-06	COVID-19상황으로2018학번에 대해"TOPCIT점수 제출 의무"에 대한 졸업 요건 면제*단 졸업 논문을 대체하기 위한TOPCIT점수270점이상 필요 요건은 유지
전공과목 재수강 인정 과목 안내	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2285&offset=1	소프트웨어학부	2021-12-24	전공과목 재수강 인정 과목 안내입니다.자세한 사항은 첨부파일을 확인하여 주시기 바랍니다.
학사 관련 서식	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2297&offset=1	소프트웨어학부	2022-01-28	학사 관련 서식 공지드립니다.
(재공지) MACH교양 이수기준 변경 안내(2015~2018학번 대상)	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2300&offset=1	소프트웨어학부	2022-02-07	MACH교양 이수기준 변경 안내(2015~2018학번 대상)창의ICT공과대학 2015~2018학번 대상 MACH교양 이수기준이 변경 및 축소되어 아래와 같이공지하오니 미이수 학생들은 변경 내용을 확인 후 이수 요건을 충족하시기 바랍니다.1. 이수요건 변경 내역 : 총 6학점 → 4학점으로 축소기존)2015~2018학번 : MACH교양 4학점(2과목)+ MACH실습 2학점(2과목) 이수(총 6학점)변경)2015~2018학번 : MACH교양 4학점(2과목) 이수(총 4학점)2. 기 이수학점별(교양+실습포함) 추가 이수 안내● 0~1학점 이수자 : MACH교양 2과목 이수 必● 2~3학점 이수자 : MACH교양 1과목 이수 必● 4학점 이상 이수자 :이수기준 충족3. MACH교양 대체 인정과목 개설 현황 : 총 4과목※ 융합교양학부 폐지로 인하여 MACH교양은 2021-1학기부터 다빈치교양대학 선택교양 영역으로 이전 개설되었으므로,과목 이수 후 이수구분 변경 신청서를 학부사무실로 제출 바랍니다.(이수구분 : 선택교양 → MACH교양)＊이메일 제출 가능 (icte@cau.ac.kr)4. 기타사항- 기존에 이수한 MACH교양에서 재수강을 원하시는 경우 교학지원팀으로 연락주시기 바랍니다. (☎02-820-5251)- 창의ICT공과대학의 졸업학점 이수기준은 총 140학점으로 동일합니다.
Maker Space 소개	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2311&offset=1	소프트웨어학부	2022-02-22	Maker Space(207관 B101호)에는 학생들의 공학설계입문, 종합설계, 각종 공모전을 위한 작품제작을 지원하기 위하여각종 장비 (전기전자 장비, 3D 프린터 등) 및 공구가 비치되어 있습니다.센터 소개, 보유 장비 소개, 예약방법등은 첨부 파일 참조특히 공학설계입문과 종합설계 수업에 참여하는 학생들의 작품 제작에 도움이 될 것으로 기대합니다.
중앙대학교 소프트웨어학부 장비 대여 사업 공지	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2439&offset=1	소프트웨어학부	2022-06-22	<중앙대학교 소프트웨어학부 장비 대여 사업 공지>1. 장비 대여 대상: 소프트웨어학부, 컴퓨터공학부 재학생 ( 대학원생도 가능 )2. 장비 대여 품목a.라즈베리파이, Raspberry Pi 400b.웹캠, Logitech C992 Proc.LG그램(2021), 16TD90P-GX7DKd.M1맥북에어(2020), A23373. 장비 대여 장소:208관 317호4. 방문 가능 시간:오전 11시 ~ 오후6시(주말 및 공휴일 제외)5. 장비 대여 및 반납 방법(1) cse.cau.ac.kr 접속 -> 열린광장 클릭 -> 장비대여 탭에서 장비 신청(https://cse.cau.ac.kr/sub05/sub0505_cal.php)(2) 장비 대여 탭에서 장비 신청 후대여 전(최소 2시간 전)오픈 채팅(https://open.kakao.com/o/sXxaAXDd)을 통하여방문 신청( 내용 :이름 / 학번 / 장비 번호 / 방문 시간 / 대여 기간)(3) 장비 대여 시에 장비 대장 작성 (학생증 지참, 물품 번호, 대여 전 물품 확인 필수)(4) 사용 후반납 시에도오픈 채팅(https://open.kakao.com/o/sXxaAXDd)을 통하여반납시간 신청( 반납 신청도 대여 신청과 동일하게 대여 전 오픈 채팅을 통해 시간 신청 )(5) 반납 시에 대여 대장 작성 (반납 시학생증 지참, 물품 확인 필수)6. 기타 문의 사항: https://open.kakao.com/o/sXxaAXDd 을 통해 문의7. 주의사항(1) 파손 및 분실 시배상 책임 부과(2) 오픈 채팅 방 참가 시,성명/학번으로 프로필 고정필수8. 기타 사항(1) 1회 최대 대여 기간 6개월 가능(2) 기간 종료 후 7일내 반납 필수9. 노트북 스펙
산학인턴십 전공교과목 학점인정서 양식 안내	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2470&offset=1	소프트웨어학부	2022-08-02	산학인턴쉽 전공교과목 학점인정서 양식 안내입니다.본 서류 제출을 통해 산학인턴쉽을 공학주제와 설계(캡스톤디자인)학점으로 인정받을 수 있습니다.졸업학기인 경우 종료 후 즉시(졸업학기 아닌 경우 4주내) 본 양식과 함께 구비서류를공학인증 PD(現 박상오) 교수님 확인 서명 후  모든 서류를 학부사무실(방문제출 혹은caugs55@cau.ac.kr)로 제출하시기 바랍니다.감사합니다.
다전공 취소신청서(융합전공 포함), 군 휴학/복학 양식 안내	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2493&offset=1	소프트웨어학부	2022-08-26	-다전공 취소신청서(복수,부,연계,융합 학생설계전공 취소신청서) => 첨부서류인성적증명서와 함께 제출. 학과사무실을 경유한 후 교학지원팀 최종 제출입니다.-군 휴학·복학원서=> 교학지원팀(02-820-5252) 문의 후 제출*위치: 학과사무실: 310관 725호 / 교학지원팀: 310관 318호
공학인증 이수(예정자)확인서 출력 안내	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2559&offset=1	소프트웨어학부	2022-11-07	
현장실습학기제 등 프로그램 관련 안내	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2596&offset=1	소프트웨어학부	2023-01-20	현장실습학기제 등 프로그램 관련 안내 공지입니다.자세한 사항은 첨부파일을 확인하여 주시기 바랍니다.
소프트웨어학부 사무실 연락처·이메일	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2597&offset=1	소프트웨어학부	2023-01-30	소프트웨어학부 사무실 대표 이메일:caugs55@cau.ac.kr<= 취업소식 안내문은 해당메일로 접수 바랍니다소프트웨어학부 행정담당자 이메일:sis0410@cau.ac.kr학부사무실 연락처: 02-820-5301
서울캠퍼스 2023년 2월 학위수여식 학위복 대여 안내	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2600&offset=1	소프트웨어학부	2023-02-02	졸업을 진심으로 축하드립니다. ‘2023년 2월 학위수여식’ 학위복 대여와 관련하여 다음과 같이 안내하오니 참고하시어 아래에 따라 학위복 대여를 신청하시기 바랍니다.1. 학위복 대여 안내구분내용비고대여 기간2023. 2. 13.(월) ~ 2. 17.(금)- 오전: 09:30 ~ 12:30- 오후: 13:00 ~ 16:00점심시간 : 12:30 ~ 13:00대여 장소301관 206호대여 방법■수령:신분증(주민등록증,운전면허증 등)제출및 본인 확인 후학위복 수령■ 반납: 학위복 반납 후 신분증 반환사전 신청https://forms.gle/6EQRKJHZy3P29Ees5(구글폼 예약신청서 작성 ※인원제한은 없으며, 선착순 아님)사전 예약 기간: 2.2(목) ~ 2.12(일)문의대여업체 ※ 010-3667-7738- 문자메시지로 문의 요망- 대여기간 많은 문의로 통화 연결은 불가합니다.2. 유의 사항가. 코로나19 확산 방지를 위해 발열/호흡기증상(기침,인후통)이 있는 학생은 대여 불가하며, 대여신청자본인만 대여 장소에 입장나. 지정된 시간 외에는 대여 절대 불가하며,대여 시간 준수다. 변경된신규 학위복으로 대여되며, 졸업자 1명 당 1회 대여라. 출차시 주차 정산소에 학위복 대여 출입 차량이라고 얘기하면무료 주차2시간 적용(이후 시간에 대해서는 일반 주차요금 적용)마. 박사 졸업자 학위복은 대여하지 않으며, 자체적으로 준비 필요바. 분실 시, 개인 변상해야 하므로 이용에 각별히 주의할 것- 변상금액(가운: 70,000원, 모자/후드: 20,000원 , 모자수술: 3,000원)사. 학위기(졸업증서) 수령: 각 소속학과 사무실 문의2023. 1.
2023-1학기 캡스톤디자인(2) 사전 수강신청 안내(연장)	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2601&offset=1	소프트웨어학부	2023-02-06	2023-1학기 캡스톤디자인(2) 사전 수강신청 안내입니다.사전 수강신청을 위한 구글 설문지 신청은 1월 30일 오전 10시에 오픈됩니다.자세한 사항은 첨부파일을 확인하여 주시기 바랍니다.- 1차 신청기간은 마감되었으며, 2차 신청을 이어서 받습니다 (2023.02.02~2023.02.12)- 2차 신청자 팀 편성은 2월 13일 이후 공지될 예정입니다.
2023-1학기 수강 및 학사 안내	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2602&offset=1	소프트웨어학부	2023-02-07	수강 및 학사 안내 자료를 다운로드하여 수강신청 시 참고하시기 바랍니다.- 수강신청시스템 사용 매뉴얼 및 수강신청 관련 공지사항은 수강신청시스템(http://sugang.cau.ac.kr) > 수강신청게시판이용 요망.
[서울캠퍼스] 2023년 2월 학위수여식 졸업앨범 및 기념품 배부 안내	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2603&offset=1	소프트웨어학부	2023-02-10	1. 오프라인 배부졸업앨범졸업기념품배부 시간2월 13일(월) ~ 2월 17일(금)10시 ~ 17시*지정된 시간 외 수령 불가배부 장소중앙대학교 서울캠퍼스 310관  B602호배부 방법학생증 확인 후수령 서명 및 현장 배부졸업기념품비 4회 中 3회 납부자-> 학생증 확인 후 수령졸업기념품비 2회 이하 납부자-> 현장에서 추가요금 납부 후 수령준비물학생증 또는 신분증(대리 수령 시 본 수령자 학생증 필요)2. 온라인 배부졸업앨범졸업기념품주관졸업앨범 업체서울캠퍼스 졸업준비위원회신청 기간업체에서 개별적으로 진행(‘스튜디오 맥’에서 별도 진행)2월 3일 ~ 2월 17일 인스타그램 및 페이스북 (‘중앙대학교 졸업준비위원회’검색) 구글폼 신청*학위수여식 이후 발송 예정신청 방법[이름/소속/연락처/주소지/우편번호/택배비용/선입금 증명사진] 등이 포함된 구글폼 신청- 졸업기념품비 4회 中 3회 납부 여부 확인하여 발송 예정- 졸업기념품비 2회 이하 납부자 추가요금 납부 및 확인 후 발송 예정3. 비고 : 1월 30일(월) 위 내용을 통합적으로 포함한 카드뉴스 총학생회 SNS에서 안내 예정- 65대 총학생회 그린 인스타그램 : @cau_grin- 65대 총학생회 그린 졸업준비위원회 인스타그램 : @cau_joljun- 4학년 대표자 단체 카카오톡 채팅방*대리 수령 시 교육→학사정보→증명서발급→방문신청위임장, 위임자 신분증 사본, 위임 받은 자 신분증 지참 바랍니다.
2023년 2월 학위수여식 안내	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2604&offset=1	소프트웨어학부	2023-02-10	2023년 2월 학위수여식 안내□ 일시 : 2023년 2월 15일(수) 오후 2시□ 장소 : 310관(백주년기념관) B501호□ 참석 대상자 : 2022년 8월 및 2023년 2월 졸업생□ 졸업장 배부 : 2023년 2월 13일(월)부터 학부사무실에서 수령(소프트웨어학부 310관 725호, 02-820-5301)□ 학위복 대여 : 사전 신청 후 대여구분내용비고대여 기간2023. 2. 13.(월) ~ 2. 17.(금)- 오전: 09:30 ~ 12:30- 오후: 13:00 ~ 16:00점심시간 : 12:30 ~ 13:00대여 장소301관 206호대여 방법■수령:신분증(주민등록증,운전면허증 등)제출및 본인 확인 후학위복 수령■ 반납: 학위복 반납 후 신분증 반환사전 신청https://forms.gle/6EQRKJHZy3P29Ees5(구글폼 예약신청서 작성 ※인원제한은 없으며, 선착순 아님)사전 예약 기간: 2.2(목) ~ 2.12(일)문의대여업체 ※ 010-3667-7738- 문자메시지로 문의 요망- 대여기간 많은 문의로 통화 연결은 불가합니다.※ 유의 사항가. 코로나19 확산 방지를 위해 발열/호흡기증상(기침,인후통)이 있는 학생은 대여 불가하며, 대여신청자본인만 대여 장소에 입장나. 지정된 시간 외에는 대여 절대 불가하며,대여 시간 준수다. 변경된신규 학위복으로 대여되며, 졸업자 1명 당 1회 대여라. 출차시 주차 정산소에 학위복 대여 출입 차량이라고 얘기하면무료 주차2시간 적용(이후 시간에 대해서는 일반 주차요금 적용)마. 바. 분실 시, 개인 변상해야 하므로 이용에 각별히 주의할 것- 변상금액(가운: 70,000원, 모자/후드: 20,000원 , 모자수술: 3,000원)*대리 수령 시 교육→학사정보→증명서발급→방문신청위임장, 위임자 신분증 사본, 위임 받은 자 신분증 지참 바랍니다.
◈ 성적장학생 선발 기준 및 지급금액 ◈	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2605&offset=1	소프트웨어학부	2023-02-10	◈ 성적장학생 선발 기준 및 지급금액 ◈2022-2학기 성적을 기초로 선발된 2023-1학기 소프트웨어대학 성적장학생 선발 성적컷을 아래와 같이 공지합니다. 개별 장학금액은 포탈 및 고지서에서 확인 가능합니다.학년소프트웨어학부컴퓨터공학전공AI학과14.38-4.2524.28소프트웨어학부로 통합4.534.33소프트웨어학부로 통합-44.234.0-※ 소수인원의 컴퓨터전공과 소프트웨어전공은 소프트웨어학부로 통합 선발* 학부(전공), 학년별 재학인원의 10%이내(수석인원 포함)에서 선발- 학부수석, 전공수석 : 1명 / 수업료 30% 지급- 학년수석 : 학년별 각 1명 / 수업료의 17% 지급- 학년우수 : 학부(전공), 학년별 재학인원 10%이내(수석인원 포함) / 수업료의 15% 지급- 장학금별 금액 (2022학년도부터 장학금액 변동)구분금액비고학부수석1,360,000(수업료의 30%)전공수석1,360,000(수업료의 30%)학년수석770,000(수업료의 17%)학년우수680,000(수업료의 15%)* 평점평균이 동일한 경우 우선 선발기준1. 신청학점수가 많은 자2. 신청과목수가 많은 자3. 전공학점수가 많은 자4. 총점이 높은 자5. 신청학점이 동일한 경우 P/F 학점수가 적은 자6. 신청과목이 동일한 경우 P/F 과목수가 적은 자7. 신청과목 중 전공과목수가 많은 자* 제외기준1. 1∼3학년 : 16학점미만이거나 미취득학점(F)이 있는자2. 4학년 : 13학점미만이거나 미취득학점(F)이 있는자3. 8차학기 제외* 기타 궁금한 사항은 학과(부) 사무실로 문의하시기 바랍니다.- 소프트웨어학부 (02-820-5301)- AI학과 (02-820-6357)
2023학년도 소프트웨어대학 신입생 입학식 안내	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2607&offset=1	소프트웨어학부	2023-02-21	2023학년도 소프트웨어대학 신입생 입학식 안내※ 입학식가. 일 시 : 2023. 2. 24(금) 13:00나. 장 소 : 310관(100주년기념관) B501호다. 식 순일 시시 간내 용2023.02.24(금)13:00 ~ 13:45폭력 예방교육 (인권센터)13:45 ~ 14:00공학교육인증 안내 (공학교육혁신센터)14:00 ~ 14:40* 입학식 행사15:00 ~학과(부) 오리엔테이션* 상기일정은 상황에 따라 일부 변동이 있을 수 있습니다.
대학가 신학기 출판물 불법복제 예방 협조	https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=2608&offset=1	소프트웨어학부	2023-02-22	
